Term,Modern_Meaning,Global_Standard,Shamanic_Voice
비견(比肩),자아/독립심/동료,Self / Peer,"자네, 고집이 보통이 아니구먼. 남 밑에서는 죽어도 일 못 할 팔자야. 내 사업을 하거나 프리랜서를 해야 숨통이 트이겠어."
겁재(劫財),경쟁심/투쟁/손재수,Rival / Competition,"주변에 도둑놈들이 득실거려! 내 밥그릇 노리는 경쟁자가 한둘이 아니네. 사람 너무 믿지 말고 돈거래는 절대 금물이야."
식신(食神),의식주/표현력/재능,Output / Talent,"먹을 복 하나는 기가 막히게 타고났네! 입만 열면 돈이 나오는 형국이라, 말로 먹고살거나 손재주를 부려야 해."
상관(傷官),비판/언변/개혁,Rebellion / Expression,"입에 칼을 물었나? 말 한마디로 천 냥 빚을 갚기도 하지만, 적을 만들기도 쉬워. 그놈의 욱하는 성질만 죽이면 대성할 텐데."
편재(偏財),사업수완/큰돈/유동자산,Windfall / Business,"월급쟁이로는 만족 못 하지! 한방을 노리는 기질이 다분해. 큰돈을 만지긴 하겠지만, 관리를 못 하면 밑 빠진 독에 물 붓기야."
정재(正財),성실함/고정수입/알뜰함,Salary / Stability,"자네는 개미처럼 일해서 차곡차곡 모으는 게 최고야. 꼼꼼하고 빈틈이 없어서 회계나 관리직이 딱이네. 딴짓 말고 저축이나 열심히 하게."
편관(偏官),권력/카리스마/스트레스,Authority / Pressure,"어깨에 짐이 한가득이구먼. 남들 눈 의식하느라 스트레스를 사서 받는 성격이야. 하지만 난세의 영웅은 바로 자네 같은 사람이지."
정관(正官),명예/규칙/보수적,Discipline / Honor,"양반이 따로 없네. 법 없이도 살 사람이야. 반듯하고 예의 바르지만, 너무 꽉 막혀서 재미는 없구먼. 융통성 좀 기르게."
편인(偏印),직관/의심/특수기술,Intuition / Unconventional,"촉이 무당 저리 가라네! 남들이 못 보는 걸 보고, 남들이 안 하는 생각을 해. 철학이나 예술, 종교 쪽에 관심이 많지?"
정인(正印),학문/인내/사랑,Wisdom / Support,"어딜 가나 사랑받는 복덩이네. 윗사람 복이 있어서 가만히 있어도 떡이 떨어져. 공부 머리가 있으니 자격증을 따두면 평생 써먹을 걸세."
역마살(驛馬),이동/여행/변동,Mobility / Travel,"엉덩이에 뿔이 났나, 한시도 가만히 못 있구먼! 집에만 있으면 병나는 체질이니, 차라리 밖으로 나가서 뛰게. 해외로 나가는 것도 아주 좋아."
도화살(桃花),인기/매력/주목,Charm / Attraction,"가만히 있어도 벌나비가 꼬이는구나. 끼가 넘쳐흘러서 문제야. 연예인이나 유튜버를 하면 대박이겠지만, 이성 문제는 항상 조심해야 해."
화개살(華蓋),예술/종교/고독,Art / Solitude,"화려한 무대 뒤의 고독함이 느껴져. 혼자 사색하고 연구하는 걸 좋아하니, 스님이나 학자가 될 팔자야. 머리가 아주 비상하구먼."
형(刑),조정/수술/형벌,Punishment / Adjustment,"뭔가 깎고 다듬고 고쳐야 직성이 풀리는구먼. 의료나 법조계 쪽이면 대박이지만, 일반인이라면 몸에 칼 댈 일(수술)이 생길 수 있으니 조심하게."
충(沖),충돌/변화/파괴,Clash / Change,"쾅! 하고 부딪히는 기운이 들어왔어. 조용히 넘어가긴 글렀네. 이사, 이직, 이별... 뭔가 하나는 깨지고 바뀌어야 새 판이 짜여질 걸세."
원진(怨嗔),원망/집착/불화,Resentment / Grudge,"이유 없이 밉고, 안 보면 보고 싶은 애증의 관계야. 귀신이 곡할 노릇이지. 괜한 의부증이나 의처증으로 사람 잡지 말고 마음을 비우게."
귀문관살(鬼門),영감/예민/신경,Spirit Gate / Sensitive,"자네... 가끔 헛것이 보이거나 가위눌리지 않나? 신경이 너무 예민해서 그래. 남들은 모르는 천재성이 있지만, 정신 건강은 잘 챙겨야 해."
괴강살(魁罡),리더십/독단/강력함,Extreme Power / Boss,"성격 한번 대단하구먼! 남자가 칼을 뽑았으면 무라도 썰어야 하는 성미야. 카리스마는 최고지만, 배우자는 자네 기에 눌려 숨도 못 쉬겠어."
양인살(羊刃),프로페셔널/고집/수술,Blade / Aggression,"손에 칼을 쥔 장수야. 아주 독하고 집요해. 칼을 쓰는 의사나 요리사가 아니면, 성격 때문에 주변 사람들과 피 튀기게 싸울 수 있어."
공망(空亡),헛수고/비움/허무,Void / Emptiness,"밑 빠진 독이야. 아무리 채워도 채워지지 않는 허전함이 있구먼. 욕심을 버리고 마음을 비우는 공부를 해야 살 수 있어."
천을귀인(天乙),후원자/행운/도움,Noble Patron / Luck,"하늘이 도우니 걱정 말게. 죽을 고비가 와도 반드시 살길이 열려. 평소에 덕을 많이 쌓아둔 덕분이야."
